Date,Description,Reference,Settlement date,Receipt (GBP),Payment (GBP),Balance (GBP)
31/12/2013,Gross interest to 31/12/13,-,-,0.5,0,1394.93
27/12/2013,Div 262   VAND FUND FAW GBP,TUUPPHY2,-,34.97,0,1394.43
18/12/2013,Div 129   ISHARES FTSE 250,WMTFAGFO,-,10.97,0,1359.46
10/12/2013,Purchase 871 DIRECT LINE INS GR ORD GBP0.10,-,13/12/2013,0,-1998.71,1348.49
10/12/2013,Purchase 24 Vanguard FTSE All-World UCITS ETF GBP,CXT57PI4,13/12/2013,0,-972.44,3347.2
04/12/2013,Contribution,ZLEBPO0I,-,1000,0,4319.64
13/11/2013,Div 43   ISH FT ALL STK GLT,3Q5RXLGC,-,5.16,0,3319.64
11/11/2013,Purchase 73 Vanguard FTSE All-World UCITS ETF GBP,UVHCUDMJ,14/11/2013,0,-2988,3314.48
04/11/2013,Contribution,-,-,1000,0,6302.48
11/10/2013,Purchase 227 Royal Mail PLC,JUIXD5P1,15/10/2013,0,-749.1,5302.48
11/10/2013,Sale 227 Royal Mail PLC,C6AFYWEB,16/10/2013,980.46,0,6051.58
10/10/2013,Purchase 37 Vanguard FTSE All-World UCITS ETF GBP,VSATOADA,15/10/2013,0,-1462.74,5071.12
04/10/2013,Div 73   VAND FUND FAW GBP,BPML7J7N,-,15.01,0,6533.86
04/10/2013,Div 55   VAND FUND FAW USD,LPUVTUDH,-,11.31,0,6518.85
02/10/2013,Contribution,-,-,1000,0,6507.54
30/09/2013,Gross interest to 30/09/13,-,-,0.54,0,5507.54
18/09/2013,Div 129   ISHARES FTSE 250,ZSXI6ZIA,-,11.91,0,5507
16/09/2013,Div 65   ASTRAZENECA,9WFJ6VBN,-,38.48,0,5495.09
03/09/2013,Contribution,-,-,1000,0,5456.61
21/08/2013,Div 255   NATIONAL GRD,RJGEEQ0I,-,67.21,0,4456.61
05/08/2013,Contribution,-,-,1000,0,4389.4
31/07/2013,Div 328   DB X-TRK FT ALSH1D,NVU5X9UA,-,36.08,0,3389.4
03/07/2013,Contribution,-,-,1000,0,3353.32
30/06/2013,Gross interest to 30/06/13,-,-,0.17,0,2353.32
28/06/2013,Div 73   VAND FUND FAW GBP,R2SB6Y6E,-,23.23,0,2353.15
28/06/2013,Div 55   VAND FUND FAW USD,UCTE2G80,-,17.5,0,2329.92
19/06/2013,Div 129   ISHARES FTSE 250,DQRSJBOJ,-,15.4,0,2312.42
05/06/2013,Contribution,-,-,1000,0,2297.02
15/05/2013,Div 43   ISH FT ALL STK GLT,H8YEXP8N,-,5.11,0,1297.02
02/05/2013,Contribution,-,-,1000,0,1291.91
10/04/2013,Purchase 255 NATIONAL GRID ORD GBP0.113953,TX6JYFHV,15/04/2013,0,-1995.16,291.91
05/04/2013,Contribution,-,-,1000,0,2287.07
02/04/2013,Div 73   VAND FUND FAW GBP,QIV8LTLH,-,10.18,0,1287.07
02/04/2013,Div 55   VAND FUND FAW USD,IOQCECO5,-,7.67,0,1276.89
31/03/2013,Gross interest to 31/03/13,-,-,0.13,0,1269.22
18/03/2013,Div 65   ASTRAZENECA,QM3O4OYQ,-,78.32,0,1269.09
13/03/2013,Div 129   ISHARES FTSE 250,QX5UMVGZ,-,6.84,0,1190.77
05/03/2013,Contribution,-,-,1000,0,1183.93
11/02/2013,Purchase 65 AstraZeneca PLC,GKSQ1VTF,14/02/2013,0,-1974.55,183.93
04/02/2013,Contribution,-,-,1000,0,2158.48
10/01/2013,Purchase 27 Vanguard FTSE All-World UCITS ETF,DCVUFQCE,15/01/2013,0,-972.54,1158.48
04/01/2013,Div 73   VAND FUND FAW GBP,NWF28NXT,-,11.05,0,2131.02
04/01/2013,Div 28   VAND FUND FAW USD,WXAPKGXB,-,4.23,0,2119.97
03/01/2013,Contribution,-,-,1000,0,2115.74
01/01/2013,* BALANCE B/F *,-,-,1115.74,0,1115.74
