Date,Description,Reference,Settlement date,Receipt (GBP),Payment (GBP),Balance (GBP)
29/12/2023,Dividend 33   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,302135 / 1,-,3.01,0,386.33
14/12/2023,Shares Custody Charge - Nov 2023,-,-,0,-0.85,383.32
10/12/2023,Dividend 13   LYXOR INTERNATIONAL ASSET MGMT  LYXOR CORE UK GOVNMENT BOND (DR) U,319472 / 1,-,13.78,0,384.17
10/12/2023,Purchase 9 Vanguard USD Corp Bd UCITS ETF GBP,211660 / 1,14/12/2023,0,-386.62,370.39
10/12/2023,Purchase 2 Amundi UK Govt Bd ETF Dist,440724 / 1,14/12/2023,0,-290.81,757.01
10/12/2023,Purchase 21 Scottish Mortgage Ord,79793 / 1,14/12/2023,0,-298.03,1047.82
03/12/2023,Dividend 79   SCOTTISH MORTGAGE  INVESTMENT TRUST,403077 / 1,-,1.2,0,1345.85
01/12/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,414716 / 1,-,2.29,0,1344.65
12/11/2023,Shares Custody Charge - Oct 2023,-,-,0,-0.84,1342.36
27/10/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,115387 / 1,-,1.99,0,1343.2
13/10/2023,Shares Custody Charge - Sep 2023,-,-,0,-0.82,1341.21
04/10/2023,Subscription,-,-,700,0,1342.03
01/10/2023,FX Charge (0.50%),73902 / 1,-,0,-0.01,642.03
29/09/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,415066 / 1,-,1.95,0,642.04
13/09/2023,Shares Custody Charge - Aug 2023,-,-,0,-0.82,640.09
03/09/2023,FX Charge (0.50%),392166 / 1,-,0,-0.02,640.91
02/09/2023,Subscription,-,-,200,0,640.93
01/09/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,180683 / 1,-,2.22,0,440.93
13/08/2023,Shares Custody Charge - Jul 2023,-,-,0,-0.82,438.71
03/08/2023,Subscription,-,-,200,0,439.53
30/07/2023,FX Charge (0.50%),432782 / 1,-,0,-0.02,239.53
28/07/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,457350 / 1,-,2.06,0,239.55
14/07/2023,Shares Custody Charge - Jun 2023,-,-,0,-0.73,237.49
12/07/2023,Purchase 30 Scottish Mortgage Ord,229005 / 1,14/07/2023,0,-398.88,238.22
09/07/2023,Dividend 13   LYXOR INTERNATIONAL ASSET MGMT  LYXOR CORE UK GOVNMENT BOND (DR) U,438858 / 1,-,20.28,0,637.1
02/07/2023,Subscription,-,-,200,0,616.82
01/07/2023,FX Charge (0.50%),168053 / 1,-,0,-0.01,416.82
01/07/2023,Dividend 49   SCOTTISH MORTGAGE  INVESTMENT TRUST,42119 / 1,-,0.96,0,416.83
30/06/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,480069 / 1,-,1.9,0,415.87
14/06/2023,Shares Custody Charge - May 2023,-,-,0,-0.7,413.97
03/06/2023,FX Charge (0.50%),250019 / 1,-,0,-0.02,414.67
02/06/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,177619 / 1,-,2.46,0,414.69
02/06/2023,Subscription,-,-,200,0,412.23
17/05/2023,Shares Custody Charge - Apr 2023,-,-,0,-0.71,212.23
06/05/2023,Subscription,-,-,200,0,212.94
04/05/2023,FX Charge (0.50%),299673 / 1,-,0,-0.01,12.94
28/04/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,172816 / 1,-,1.78,0,12.95
16/04/2023,Shares Custody Charge - Mar 2023,-,-,0,-0.64,11.17
12/04/2023,Purchase 24 Scottish Mortgage Ord,39694 / 1,14/04/2023,0,-291.57,11.81
07/04/2023,FX Charge (0.50%),137681 / 1,-,0,-0.02,303.38
06/04/2023,Subscription,-,-,200,0,303.4
31/03/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,316474 / 1,-,2.38,0,103.4
12/03/2023,Shares Custody Charge - Feb 2023,-,-,0,-0.58,101.02
10/03/2023,Purchase 25 Scottish Mortgage Ord,366835 / 1,12/03/2023,0,-289.18,101.6
04/03/2023,FX Charge (0.50%),234063 / 1,-,0,-0.01,390.78
03/03/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,300585 / 1,-,1.89,0,390.79
02/03/2023,Subscription,-,-,200,0,388.9
12/02/2023,Shares Custody Charge - Jan 2023,-,-,0,-0.52,188.9
10/02/2023,Purchase 3 Amundi UK Govt Bd ETF Dist,389168 / 1,12/02/2023,0,-437.78,189.42
04/02/2023,FX Charge (0.50%),474923 / 1,-,0,-0.02,627.2
03/02/2023,Dividend 24   VANGUARD FUNDS PLC  VANGUARD USD CORP BOND UCITS ETF USD DIS,15751 / 1,-,2.48,0,627.22
03/02/2023,Subscription,-,-,200,0,624.74
26/01/2023,Shares Custody Charge - Q4 2020,-,-,0,-1.31,424.74
11/01/2023,Purchase 3 Amundi UK Govt Bd ETF Dist,496273 / 1,13/01/2023,0,-447.5,426.05
05/01/2023,Subscription,-,-,200,0,873.55
01/01/2023,* BALANCE B/F *,-,-,673.55,0,673.55
